Region,Country,Year,Brand,Tier 1,Tier 2,Tier 3,Pep (%),Budget,Pep Budget,Bottler Budget,Category
LAB Mexico,Mexico,2025,Be-Light,STB - Push,Trade Equipment,On Premise Equipment,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,STB - Push,Trade Equipment,"Stands/ Racks, Other Trade Equipment",0.0,245877,0,245877,Water
LAB Mexico,Mexico,2025,Be-Light,STB - Push,Trade Equipment,Trade Equipment-Other,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,STB - Push,Trade Programs,Distribution Incentives,0.0,6638696,0,6638696,Water
LAB Mexico,Mexico,2025,Be-Light,STB - Push,Trade Programs,Innovation Investments,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,STB - Push,Trade Programs,Other Trade Programs,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,STB - Push,Trade Programs,Sales Incentives,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,STB - Push,Trade Programs,Space Investments,0.0,18932579,0,18932579,Water
LAB Mexico,Mexico,2025,Be-Light,STB - Push,Unilateral,CDAs,0.0,79172606,0,79172606,Water
LAB Mexico,Mexico,2025,Be-Light,STB - Push,Unilateral,Capital Equipment,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,STB - Push,Unilateral,Other Unilateral,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,STB - Push,Unilateral,Price Support,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Ad Production,Digital Ad Production,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Ad Production,Other Ad Production,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Ad Production,TV Print Radio OOH Prod,100.0,8555784,8555784,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Agency Fees,Creative Agency Fees,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Agency Fees,In Store and POS Design/Development,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Agency Fees,Media Agency Fees,100.0,8555784,8555784,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Agency Fees,Other Agency Fees,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Agency Fees,Social Media/Influence Marketing,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Innovation and Insight,Innovation,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Innovation and Insight,Market Research,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Innovation and Insight,Other Innovation and Insight,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Insight,Advanced Analytics,100.0,4753213,4753213,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Insight,Brand Building,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Insight,Consumer Tracking,100.0,7605141,7605141,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Insight,Customer / Retail and Insights and Analytics,100.0,950642,950642,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Insight,Foundational Data / Systems,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Insight,Innovation Insights,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Insight,Strategic Insights,100.0,6654499,6654499,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Other Non Working,All Other Non Working,100.0,19012854,19012854,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Other Non Working,NW-Cross Charges,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Other Non Working,NW-Excluded non-A&M Items,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Other Non Working,NW-Fall In / Fall Out,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Other Non Working,Out of Scope Countries ( D8 Gastos),0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Package Design,Other Package Design,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Non-Working,Package Design,Package Design,0.0,0,0,0,Sport Drinks
LAB Mexico,Mexico,2025,Gatorade,Pull-Working,Consumer Promotions,Consumer Promotions Execution,0.0,190128543,0,190128543,Sport Drinks
